Iteration,Training Accuracy,Validation Accuracy
1,98.07692307692308,96.99201964395334
2,99.28396072013093,98.09699201964395
3,99.83633387888707,98.15837937384899
4,99.89770867430443,98.46531614487415
5,99.97954173486089,98.40392879066913
6,99.95908346972176,98.40392879066913
7,100.0,98.28115408225905
8,100.0,98.28115408225905
9,100.0,98.28115408225905
10,100.0,98.28115408225905
11,100.0,98.28115408225905
12,100.0,98.28115408225905
13,100.0,98.28115408225905
14,100.0,98.28115408225905
15,100.0,98.28115408225905
