Iteration,Training Accuracy,Validation Accuracy
1,98.67021276595744,97.11479435236342
2,99.61129296235679,97.91282995702885
3,99.03846153846153,97.72866789441375
4,99.83633387888707,98.28115408225905
5,99.97954173486089,98.34254143646409
6,99.97954173486089,98.34254143646409
7,100.0,98.40392879066913
8,100.0,98.40392879066913
9,100.0,98.40392879066913
10,100.0,98.40392879066913
11,100.0,98.40392879066913
12,100.0,98.40392879066913
13,100.0,98.40392879066913
14,100.0,98.40392879066913
15,100.0,98.40392879066913
