Iteration,Training Accuracy,Validation Accuracy
1,96.44026186579379,94.59791282995702
2,98.240589198036,97.36034376918354
3,99.26350245499182,97.91282995702885
4,98.91571194762685,97.60589318600368
5,99.67266775777414,98.09699201964395
6,99.67266775777414,97.97421731123389
7,99.83633387888707,97.97421731123389
8,99.95908346972176,98.34254143646409
9,99.77495908346972,98.15837937384899
10,99.95908346972176,98.15837937384899
11,99.8772504091653,97.85144260282382
12,99.8772504091653,97.91282995702885
13,99.95908346972176,97.97421731123389
14,99.83633387888707,98.03560466543892
15,99.32487725040916,97.23756906077348
